41, programa, The Tonight Show Starring Jimmy Fallon,Talk show/Entretenimento,2014,Livre,NBC
42, programa, The Daily Show with Trevor Noah,Talk show/Comédia,1996,16 anos,Comedy Central
43, programa, America's Got Talent,Reality show/Talento,2006,Livre,NBC
44, programa, MasterChef,Reality show/Culinária,2010,Livre,Fox
45, programa, The Voice,Reality show/Música,2011,Livre,NBC
46, programa, Late Show with Stephen Colbert,Talk show/Entretenimento,2015,12 anos,CBS
47, programa, Britain's Got Talent,Reality show/Talento,2007,Livre,ITV
48, programa, Dancing with the Stars,Reality show/Dança,2005,Livre,ABC
49, programa, Saturday Night Live,Comédia/Variety show,1975,16 anos,NBC
50, programa, America's Funniest Home Videos,Reality show/Comédia,1989,Livre,ABC
